"rcaState","rptMStateKey","rcaID","rcaCode","rcaName","rcaType","rcaSensitiveArea","rcaDateArt58","rcaParameterN","rcaParameterP","rcaParameterOther","rcaDateDesignation","rcaANitro","rcaAPhos","rcaB","rcaC","rcaCRelevantDirective","rcaMorphology","rcaHydrologie","rcaHydraulic","rcaAbsenceRisk","rcaDateArt54","rcaArt54Applied"
"106","PT",116,"PTLK06","Albufeira do Pocinho","101","",,False,False,False,22/06/2004,False,True,False,False,"",False,False,False,False,,False
"106","PT",117,"PTLK08","Albufeira da Aguieira","101","",,False,False,False,22/06/2004,False,True,False,True,"75/440/CEE (NH4+)",False,False,False,False,,False
"106","PT",118,"PTLK09","Albufeira de Pracana","101","",,False,False,False,22/06/2004,False,True,False,False,"",False,False,False,False,,False
"106","PT",119,"PTLK19","Albufeira do Maranhao","101","",,False,False,False,22/06/2004,False,True,False,False,"",False,False,False,False,,False
"106","PT",120,"PTLK20","Albufeira de Alqueva","101","",,False,False,False,22/06/2004,False,True,False,True,"75/440/CEE (Coli+NH4+)",False,False,False,False,,False
"106","PT",121,"PTLK21","Albufeira de Vale do Gaio","101","",,False,False,False,22/06/2004,False,True,False,False,"",False,False,False,False,,False
"106","PT",122,"PTLK22","Albufeira do Roxo","101","",,False,False,False,22/06/2004,False,True,False,True,"75/440/CEE (Coli), 78/659/CEE (OD+NH3+ NH4+)",False,False,False,False,,False
"106","PT",123,"PTLS01","Cabo da Roca/Estoril","99","",,False,False,False,22/06/2004,False,False,False,False,"",True,True,True,True,,False
"106","PT",124,"PTLS02","Cabo Espichel","99","",,False,False,False,22/06/2004,False,False,False,False,"",True,True,True,True,,False
"106","PT",125,"PTLS03","Sines","99","",,False,False,False,22/06/2004,False,False,False,False,"",True,True,True,True,,False
"106","PT",126,"PTLS04","Porto Covo/Vila Nova de Milfontes","99","",,False,False,False,22/06/2004,False,False,False,False,"",True,True,True,True,,False
"106","PT",127,"PTLS05","Almograve/Zambujeira do Mar","99","",,False,False,False,22/06/2004,False,False,False,False,"",True,True,True,True,,False
"106","PT",128,"PTLS06","Arrifana/Carrapateira","99","",,False,False,False,22/06/2004,False,False,False,False,"",True,True,True,True,,False
"106","PT",129,"PTLS07","Cabo de S. Vicente","99","",,False,False,False,22/06/2004,False,False,False,False,"",True,True,True,True,,False
"106","PT",130,"PTLS08","Ilha da Madeira","99","",,False,False,False,22/06/2004,False,False,False,False,"",True,True,True,True,,False
"106","PT",131,"PTLS09","Ilha de Porto Santo","99","",,False,False,False,22/06/2004,False,False,False,False,"",True,True,True,True,,False
"106","PT",132,"PTRI01","Cavado","101","",,False,False,False,22/06/2004,False,False,False,True,"75/440/CEE (Coli + NH4+)",False,False,False,False,,False
"106","PT",133,"PTRI02","Rio Ferreira","101","",,False,False,False,22/06/2004,False,False,False,True,"75/440/CEE (Coli)",False,False,False,False,,False
"106","PT",134,"PTRI07","Vouga","101","",,False,False,False,22/06/2004,False,False,False,True,"78/659/CEE (NH4+)",False,False,False,False,,False
"106","PT",135,"PTRI11","Nabao","101","",,False,False,False,22/06/2004,False,False,False,True,"78/659/CEE (NH3 + NH4+)",False,False,False,False,,False
"106","PT",136,"PTRI12","Tejo/ Vala de Alpiarca","101","",,False,False,False,22/06/2004,False,False,False,True,"75/440/CEE (Coli)",False,False,False,False,,False
"106","PT",137,"PTRI14","Trancao","101","",,False,False,False,22/06/2004,False,False,False,True,"Microbiologia",False,False,False,False,,False
"106","PT",138,"PTTW10","Estuario do Mondego","101","",,False,False,False,22/06/2004,False,False,False,True,"91/492/CEE (Coli)",False,False,False,False,,False
"106","PT",139,"PTTW13","Lagoa de Obidos","101","",,False,False,False,22/06/2004,True,False,False,True,"91/492/CEE (Coli)",False,False,False,False,,False
"106","PT",140,"PTTW15","Estuario do Tejo","101","",,False,False,False,22/06/2004,False,False,False,True,"91/492/CEE (Coli)",False,False,False,False,,False
"106","PT",141,"PTTW16","Lagoa de Albufeira","101","",,False,False,False,22/06/2004,False,False,False,True,"91/492/CEE (Coli)",False,False,False,False,,False
"106","PT",142,"PTTW17","Esteiro da Marateca","101","",,False,False,False,22/06/2004,False,False,False,True,"91/492/CEE (Coli)",False,False,False,False,,False
"106","PT",143,"PTTW18","Canal de Alcacer","101","",,False,False,False,22/06/2004,False,False,False,True,"91/492/CEE (Coli)",False,False,False,False,,False
"106","PT",144,"PTTW23","Estuario do Rio Arade","101","",,False,False,False,22/06/2004,False,False,False,True,"91/492/CEE (Coli)",False,False,False,False,,False
"106","PT",145,"PTTW24","Lagoa dos Salgados","101","",,False,False,False,22/06/2004,False,True,False,False,"",False,False,False,False,,False
"106","PT",146,"PTTW25","Ria Formosa","101","",,False,False,False,22/06/2004,False,False,False,True,"91/492/CEE (Coli)",False,False,False,False,,False
"106","RO",147,"RO01","Romania","97","",11/05/2005,True,True,False,11/05/2005,True,True,True,True,"Water Framework Directive and associated Water Directives",False,False,False,False,,False
"106","SE",148,"SECM001","Catchment to sensivite area, coastal and inland waters of Sweden","98","",,False,False,False,28/05/1998,False,True,False,False,"",False,False,False,False,,False
"106","SE",149,"SECM002","Catchment to sensivite area, southern coast of Sweden","98","151",,False,False,False,28/05/1998,True,True,False,False,"",False,False,False,False,,False
"106","SE",150,"SECA001","Sensivite area, northern coast of Sweden","101","",,False,False,False,28/05/1998,False,True,False,False,"",False,False,False,False,,False
"106","SE",151,"SECA002","Sensivite area, southern coast of Sweden","101","",,False,False,False,28/05/1998,True,True,False,False,"",False,False,False,False,,False
"106","SE",152,"SELK001","Sensivite area, inland waters (lakes and rivers) of Sweden","101","",,False,False,False,28/05/1998,False,True,False,False,"",False,False,False,False,,False
"106","SK",154,"SKS01","Slovak Republic","101","",,False,False,False,31/12/2004,True,True,False,False,"",False,False,False,False,,False
"106","SI",155,"SI-NA-2006","Normal area of Slovenia","100","",,False,False,False,,False,False,False,False,"",False,False,False,False,,False
"106","HU",160,"HU-NA-2005","Normal area of Hungary","100","",,False,False,False,31/12/2004,False,False,False,False,"",False,False,False,False,,False
"106","HU",161,"HU-SA-AIP517","Balaton és vízgyűjtője","101","",,False,False,False,31/12/2004,True,True,True,False,"",False,False,False,False,,False
