"dcpState","rptMStateKey","dcpID","uwwID","dcpCode","dcpName","dcpNuts","dcpLatitude","dcpLongitude","dcpWaterBodyType","dcpIrrigation","dcpTypeOfReceivingArea","rcaID","dcpSurfaceWaters","dcpWaterbodyID","dcpNotAffect","dcpMSProvide","dcpCOMAccept","dcpGroundWater","dcpReceivingWater","dcpWFDSubUnit","dcpWFDRBD","dcpRemarks","dcpWFDRBDReferenceDate","dcpWaterBodyReferenceDate","dcpGroundWaterReferenceDate","dcpReceivingWaterReferenceDate","dcpWFDSubUnitReferenceDate"
"106","DE",4286,3098,"DEDP_HE064400160901","Nidda",2201,50.39967,8.988901,"115","","101",6,"123","DEHE_248.3","","","","","","","DE_2000","",,,,,
"106","DE",4287,3099,"DEDP_HE064400161301","Laisbach",2201,50.38739,9.060151,"115","","101",6,"123","DEHE_24818.1","","","","","","","DE_2000","",,,,,
"106","DE",4288,3100,"DEDP_HE064400170101","Nidda",2201,50.29141,8.811185,"115","","101",6,"123","DEHE_248.2","","","","","","","DE_2000","",,,,,
"106","DE",4385,3197,"DEDP_HE065350050101","Ohm",2207,50.6954,9.04757,"115","","101",6,"123","DEHE_2582.2","","","","","","","DE_2000","",,,,,
"106","DE",4386,3198,"DEDP_HE065350060701","Jossa",2207,50.75481,9.491693,"115","","101",6,"123","DEHE_4254.1","","","","","","","DE_4000","",,,,,
"106","DE",4387,3199,"DEDP_HE065350070801","Schlitz",2207,50.52451,9.339022,"115","","101",6,"123","DEHE_424.2","","","","","","","DE_4000","",,,,,
"106","DE",4388,3200,"DEDP_HE065350071201","Schwarza",2207,50.50069,9.36449,"115","","101",6,"123","DEHE_4236.2","","","","","","","DE_4000","",,,,,
"106","DE",4389,3201,"DEDP_HE065350080201","Alte Hasel",2207,50.56725,9.3582,"115","","101",6,"123","DEHE_424.2","","","","","","","DE_4000","",,,,,
"106","DE",4390,3202,"DEDP_HE065350091201","Ohm",2207,50.74704,8.968066,"115","","101",6,"123","DEHE_2582.1","","","","","","","DE_2000","",,,,,
"106","DE",4391,3203,"DEDP_HE065350100501","Klein",2207,50.78001,9.045587,"115","","101",6,"123","DEHE_25826.1","","","","","","","DE_2000","",,,,,
"106","DE",4392,3204,"DEDP_HE065350110401","Lauter",2207,50.6414,9.423002,"115","","101",6,"123","DEHE_424.1","","","","","","","DE_4000","",,,,,
"106","DE",4393,3205,"DEDP_HE065350110901","Bach von Wallenrod",2207,50.67346,9.331905,"115","","101",6,"123","DEHE_4288.4","","","","","","","DE_4000","",,,,,
"106","DE",4394,3206,"DEDP_HE065350130401","Rauchel",2207,50.60573,9.074629,"115","","101",6,"123","DEHE_2582.2","","","","","","","DE_2000","",,,,,
"106","DE",4395,3207,"DEDP_HE065350130801","Ohm",2207,50.6676,9.026311,"115","","101",6,"123","DEHE_2582.2","","","","","","","DE_2000","",,,,,
"106","DE",4396,3208,"DEDP_HE065350150501","Fulda",2207,50.68776,9.594022,"115","","101",6,"123","DEHE_42.4","","","","","","","DE_4000","",,,,,
"106","DE",4397,3209,"DEDP_HE065350190101","Lauter",2207,50.63054,9.459355,"115","","101",6,"123","DEHE_424.1","","","","","","","DE_4000","",,,,,
"106","DE",2908,1720,"DEDP_BW2255100000041","Rinschbach",2024,49.46061,9.416457,"115","","101",6,"123","DE_BW_48-04","","","","","","","DE_2000","",,,,,
"106","DE",2909,1721,"DEDP_BW2255100000042","Erfa",2024,49.62267,9.446959,"115","","101",6,"123","DE_BW_51-01","","","","","","","DE_2000","",,,,,
"106","DE",2910,1722,"DEDP_BW2255100000043","Schefflenz",2024,49.3088,9.246785,"115","","101",6,"123","DE_BW_48-04","","","","","","","DE_2000","",,,,,
"106","DE",2911,1723,"DEDP_BW2255100000044","Neckar",2024,49.36842,9.081644,"115","","101",6,"123","DE_BW_4-05","","","","","","","DE_2000","",,,,,
"106","DE",2928,1740,"DEDP_BW2265100000030","Landgraben",2025,49.27827,8.602338,"115","","101",6,"123","DE_BW_35-06-or5","","","","","","","DE_2000","",,,,,
"106","DE",2929,1741,"DEDP_BW2315100000061","Enz",2026,48.90195,8.736869,"115","","101",6,"123","DE_BW_45-01","","","","","","","DE_2000","",,,,,
"106","DE",2930,1742,"DEDP_BW2355100000003","Nagold",2027,48.56919,8.716537,"115","","101",6,"123","DE_BW_44-01","","","","","","","DE_2000","",,,,,
"106","DE",2931,1743,"DEDP_BW2355100000005","Nagold",2027,48.7881,8.72689,"115","","101",6,"123","DE_BW_44-02","","","","","","","DE_2000","",,,,,
"106","DE",2932,1744,"DEDP_BW2355100000019","Talackerbach",2027,48.74902,8.8181,"115","","101",6,"123","DE_BW_44-03","","","","","","","DE_2000","",,,,,
"106","DE",2933,1745,"DEDP_BW2355100000021","Nagold",2027,48.64368,8.736203,"115","","101",6,"123","DE_BW_44-02","","","","","","","DE_2000","",,,,,
"106","DE",2934,1746,"DEDP_BW2355100000023","Enz",2027,48.7047,8.537756,"115","","101",6,"123","DE_BW_43-01","","","","","","","DE_2000","",,,,,
"106","DE",2935,1747,"DEDP_BW2355100000024","Enz",2027,48.78946,8.577861,"115","","101",6,"123","DE_BW_43-01","","","","","","","DE_2000","",,,,,
"106","DE",2936,1748,"DEDP_BW2355100000025","Nagold",2028,48.83317,8.701092,"115","","101",6,"123","DE_BW_44-02","","","","","","","DE_2000","",,,,,
"106","DE",2937,1749,"DEDP_BW2355100000026","Reichenbach",2027,48.79939,8.658252,"115","","101",6,"123","DE_BW_44-02","","","","","","","DE_2000","",,,,,
"106","DE",2938,1750,"DEDP_BW2355100000029","Altbach",2027,48.72528,8.861135,"115","","101",6,"123","DE_BW_44-03","","","","","","","DE_2000","",,,,,
"106","DE",2939,1751,"DEDP_BW2355100000035","Dürrbach",2027,48.6695,8.690559,"115","","101",6,"123","DE_BW_44-02","","","","","","","DE_2000","",,,,,
"106","DE",2940,1752,"DEDP_BW2355100000039","Nagold",2027,48.59361,8.729414,"115","","101",6,"123","DE_BW_44-01","","","","","","","DE_2000","",,,,,
"106","DE",2941,1753,"DEDP_BW2355100000042","Aid",2027,48.69822,8.846606,"115","","101",6,"123","DE_BW_44-03","","","","","","","DE_2000","",,,,,
"106","DE",2942,1754,"DEDP_BW2355100000048","Nagold",2027,48.74446,8.731069,"115","","101",6,"123","DE_BW_44-02","","","","","","","DE_2000","",,,,,
"106","DE",2943,1755,"DEDP_BW2355100000051","Teinach",2027,48.68677,8.700925,"115","","101",6,"123","DE_BW_44-02","","","","","","","DE_2000","",,,,,
"106","DE",2960,1772,"DEDP_BW2365100000072","Schmie",2028,48.94623,8.934778,"115","","101",6,"123","DE_BW_45-01","","","","","","","DE_2000","",,,,,
"106","DE",2961,1773,"DEDP_BW2365100000074","Beutbach",2028,48.83471,8.666865,"115","","101",6,"123","DE_BW_44-02","","","","","","","DE_2000","",,,,,
"106","DE",2962,1774,"DEDP_BW2365100000075","Engelsbach",2028,48.83707,8.636936,"115","","101",6,"123","DE_BW_43-01","","","","","","","DE_2000","",,,,,
"106","DE",2963,1775,"DEDP_BW2365100000138","Stadelbach",2028,48.82416,8.832973,"115","","101",6,"123","DE_BW_44-03","","","","","","","DE_2000","",,,,,
"106","DE",2964,1776,"DEDP_BW2375100000001","Waldach",2029,48.51498,8.583852,"115","","101",6,"123","DE_BW_44-01","","","","","","","DE_2000","",,,,,
"106","DE",2965,1777,"DEDP_BW2375100000007","Glatt",2029,48.43022,8.517045,"115","","101",6,"123","DE_BW_40-04","","","","","","","DE_2000","",,,,,
"106","DE",2966,1778,"DEDP_BW2375100000013","Murg",2029,48.51693,8.384124,"115","","101",6,"123","DE_BW_34-01-or4","","","","","","","DE_2000","",,,,,
"106","DE",2967,1779,"DEDP_BW2375100000014","Glatt",2029,48.45839,8.483451,"115","","101",6,"123","DE_BW_40-04","","","","","","","DE_2000","",,,,,
"106","DE",2968,1780,"DEDP_BW2375100000015","Talbach",2029,48.47119,8.734148,"115","","101",6,"123","DE_BW_40-04","","","","","","","DE_2000","",,,,,
